Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
178591050,4950.0,217794.0,LaCisterna,MetroEstaciónElparrón,3,,90,176,,15534982,Nexxos
465419100,12900.0,567584.0,LasCondes,elbombolasCondes,4,4,156,315,2,15534964,Unne
1064330500,29500.0,1297964.0,Colina,Preciosacasacomonueva,7,5,345,3400,6,15533860,Unne
1403473100,38900.0,1711553.0,LoBarnechea,LasHualtatas-ParqueGolf,7,5,408,922,4,15533556,Viel la Dehesa SPA
240000000,6652.0,292683.0,Pirque,CaminoLosMagnolios,4,2,169,623,6,15533398,Easyprop
140708100,3900.0,171595.0,Pudahuel,RioTrancura9709,3,2,75,100,,15529214,Easyprop
274200400,7600.0,334391.0,LaFlorida,LasNalcas,3,2,140,350,2,15528616,Unne
775698500,21500.0,945974.0,LasCondes,IsabelLaCatólica-Manquehue,3,3,140,765,,15528576,Nexxos
89000000,2467.0,108537.0,SanRamón,bolivia1813,3,1,70,70,,15526417,Mi espacio inmobiliario
427000000,11835.0,520732.0,SanJoaquín,juansebastianbach137,4,2,230,230,3,15526059,Mi espacio inmobiliario
59000000,1635.0,71951.0,SanBernardo,pedronolasco1685,4,1,95,95,,15526000,Mi espacio inmobiliario
120000000,3326.0,146341.0,SanBernardo,lossuspiros16456,4,2,75,75,,15525930,Mi espacio inmobiliario
160000000,4435.0,195122.0,SanBernardo,baquedano,2,1,70,70,,15525917,Mi espacio inmobiliario
93000000,2578.0,113415.0,SanBernardo,loncomillaconamerica,2,1,70,70,,15525890,Mi espacio inmobiliario
55000000,1524.0,67073.0,SanBernardo,cincopinos0264,3,1,55,55,,15525864,Mi espacio inmobiliario
95000000,2633.0,115854.0,SanBernardo,bal,3,2,70,70,1,15525849,Mi espacio inmobiliario
118000000,3271.0,143902.0,SanBernardo,losvilos,3,1,70,70,3,15525832,Mi espacio inmobiliario
128000000,3548.0,156098.0,SanBernardo,jorgealdea,3,2,87,87,1,15525810,Mi espacio inmobiliario
57000000,1580.0,69512.0,SanBernardo,elrefugio,4,1,94,94,,15525795,Mi espacio inmobiliario
45000000,1247.0,54878.0,PuenteAlto,jessica2525,2,1,35,35,,15525757,Mi espacio inmobiliario
88000000,2439.0,107317.0,PuenteAlto,bahiacatalina3618,3,1,55,55,,15525741,Mi espacio inmobiliario
55000000,1524.0,67073.0,PuenteAlto,villalosapostoles,2,1,50,50,,15525711,Mi espacio inmobiliario
54000000,1497.0,65854.0,PuenteAlto,jerico,5,2,65,65,1,15525693,Mi espacio inmobiliario
85000000,2356.0,103659.0,Pudahuel,lasbodegas,3,2,70,70,1,15525676,Mi espacio inmobiliario
95000000,2633.0,115854.0,Peñalolén,polideportivosergiolivingstone,3,1,85,85,,15525658,Mi espacio inmobiliario
130000000,3603.0,158537.0,PadreHurtado,arzobispoemiliotagle,3,1,55,55,3,15524889,Mi espacio inmobiliario
120000000,3326.0,146341.0,Maipú,avamericovespucio1184,2,2,62,62,2,15524824,Mi espacio inmobiliario
220000000,6098.0,268293.0,Macul,dosnorte,3,2,98,98,3,15524806,Mi espacio inmobiliario
66000000,1829.0,80488.0,LaPintana,lasloicas,3,2,80,80,,15524786,Mi espacio inmobiliario
180000000,4989.0,219512.0,LaCisterna,ignaciocarrerapinto6617,4,2,140,140,1,15524703,Mi espacio inmobiliario
87000000,2411.0,106098.0,Buin,enriquetadiaz2848,3,2,75,75,2,15524596,Mi espacio inmobiliario
190000000,5266.0,231707.0,LoPrado,IslaDecepciónconEcuador,4,2,134,198,2,15523583,Unne
115813590,3210.0,141236.0,SanBernardo,Avcentralysantaines.,3,,74,105,1,15522053,Brokers Inmobiliarios
48000000,1330.0,58537.0,LaFlorida,NaveBlanca,2,1,55,60,,13121621,Propiedades Abarca
357182100,9900.0,435588.0,Colina,LaLaguna,4,3,184,387,3,15478744,Nexxos
295847800,8200.0,360790.0,LaCisterna,Colon,4,1,235,787,,15478173,Unne
182000000,5044.0,221951.0,Buin,HermosacasaenBuin,3,3,86,265,3,15478146,Unne
194826600,5400.0,237593.0,Quilicura,HermosoTownhouse,4,3,113,115,2,15478109,Unne
240000000,6652.0,292683.0,Santiago,Casaparaproyectodeinversion,5,3,240,200,,15478061,Unne
145000000,4019.0,176829.0,Maipú,Ampliacasade4habitacionesenMaipú,4,3,120,141,2,15478039,Unne
95000000,2633.0,115854.0,Maipú,Pasajetimoteo,3,2,65,100,,15476796,Unne
155000000,4296.0,189024.0,Maipú,calleesdras,3,3,86,136,1,15476774,Unne
177508680,4920.0,216474.0,Santiago,LasNaciones560,5,3,136,153,2,15476008,RUKAM SPA
251831420,6980.0,307111.0,QuintaNormal,Tadeovargas/metroblanqueado,3,2,160,400,1,15475321,Unne
2269369100,62900.0,2767523.0,LoBarnechea,CYElRodeo/HuinganalOportunidadDesarrollocomercial,6,6,350,1240,,15474478,Nieto & Stone Propiedades
141898707,3933.0,173047.0,Renca,Ventacasarenca,3,1,90,348,,15467651,Movahome Corredores Integrados
227297700,6300.0,277192.0,LaFlorida,Ventacasalaflorida,3,4,107,75,1,15467600,Movahome Corredores Integrados
558502920,15480.0,681101.0,Ñuñoa,Lagiralda1642,4,3,125,300,,15467549,Movahome Corredores Integrados
717972100,19900.0,875576.0,LoBarnechea,ColegioMonteTabor,5,5,180,490,2,15466961,Nexxos
894759200,24800.0,1091170.0,LoBarnechea,Pieandino,4,5,212,695,3,15466013,Cruz Balmaceda
533969200,14800.0,651182.0,Colina,av.PadresergioCorrea14100chicureo,3,3,178,656,2,15465090,Nexxos
89900000,2492.0,109634.0,Pudahuel,docedeoctubre290,3,1,84,87,,15464956,RUKAM SPA
536566888,14872.0,654350.0,LasCondes,CallePerseo,3,2,153,418,2,15462881,Easyprop
1587476000,44000.0,1935946.0,LoBarnechea,SantaBlancaconLosAlazanes,7,5,350,1012,3,15462732,Cata Brochet
173179200,4800.0,211194.0,Lampa,CondominioLagunaNorte,4,3,121,90,2,15461533,Grupo Premium Propiedades Santiago
42000000,1164.0,51220.0,Colina,VillaClaudioArrau,2,1,69,60,,15461524,Grupo Premium Propiedades Santiago
54000000,1497.0,65854.0,Colina,VillaClaudioArrau,3,1,58,118,,15461509,Grupo Premium Propiedades Santiago
62000000,1718.0,75610.0,Lampa,VillaLosRobles,3,2,57,77,2,15461499,Grupo Premium Propiedades Santiago
78000000,2162.0,95122.0,Lampa,VillaParqueLampa,3,2,51,79,2,15461462,Grupo Premium Propiedades Santiago
74000000,2051.0,90244.0,Lampa,CalleElPellin,3,1,51,103,3,15461434,Grupo Premium Propiedades Santiago
160000000,4435.0,195122.0,Lampa,Avloshalcones,4,3,99,273,3,15461370,Grupo Premium Propiedades Santiago
135000000,3742.0,164634.0,Renca,CallePedralbesSur,3,3,83,120,3,15461322,Grupo Premium Propiedades Santiago
165963400,4600.0,202394.0,Lampa,Vallegrande,4,3,115,175,1,15460983,Grupo Premium Propiedades Santiago
717972100,19900.0,875576.0,LoBarnechea,CaminodelCajón/CaminoHuallalolén,3,3,270,5000,8,15457276,Sucursal El Bosque Sur
1439552100,39900.0,1755551.0,Colina,LasBrisasdeChicureo,4,6,608,4400,7,15457233,Cata Brochet
609735100,16900.0,743579.0,LasCondes,CAminoLasflores,5,1,165,213,2,15456569,Agustín Fuenzalida Propiedades
811777500,22500.0,989973.0,Vitacura,Casacomonuevaensegurocondominio//Vitacura,4,5,220,300,2,15454571,Unne
472634900,13100.0,576384.0,LasCondes,REBAJADA!CasapararemodelarensectorresidencialdeLasCondes,4,3,140,450,3,15454518,Unne
1010212000,28000.0,1231966.0,Vitacura,Millantú/Antilhue,5,4,366,1096,4,15454395,Easyprop
220000000,6098.0,268293.0,LaFlorida,Ampliacasaenexcelenteubicacionencondominioseguro,3,3,126,200,,15454356,
775698500,21500.0,945974.0,LaReina,EscultoraRebecaMatte,4,3,145,803,5,15454334,Unne
178951840,4960.0,218234.0,SanBernardo,Caminopadrehurtado/padrehurtado,3,3,118,135,1,15454207,Mauricio Pino Propiedades
487066500,13500.0,593984.0,Buin,BajosdeMatte/.,4,3,230,5200,,15454169,Mauricio Pino Propiedades
487030421,13499.0,593940.0,Colina,Centraldechicureo/lascanteras,6,6,396,5000,,15453861,Mauricio Pino Propiedades
396869000,11000.0,483987.0,Lampa,CaminoSantaSara/CondominioQuilquén/Batuco-Lampa,4,4,350,5500,2,15453839,Mauricio Pino Propiedades
138000000,3825.0,168293.0,QuintaNormal,DoctorJoseTobias//AvenidaCarrascal,3,2,120,210,,15452140,Unne
168488930,4670.0,205474.0,Colina,CostaneraPoniente&ElPotrerillo,3,2,90,180,2,15451506,Unne
1623555000,45000.0,1979945.0,LasCondes,Dra.EloisaDíaz-HernandodeMagallanes-AlonsodeCamargo-IsabelLaCatólica,16,7,477,1192,,15451214,Vivax
249900000,6926.0,304756.0,Ñuñoa,Raulcisternaconestrellasolitaria,3,1,78,242,,15450509,
145900000,4044.0,177927.0,Macul,Elenamartineschaconconramoncruz,5,3,154,172,2,15450461,
243000000,6735.0,296341.0,Peñalolén,Lospresidentescontobalaba,5,4,170,228,,15450364,
609735100,16900.0,743579.0,Colina,LaReserva/Av.delValle,4,5,313,820,,10239105,Toro Guzmán Propiedades
642206200,17800.0,783178.0,LasCondes,Sectorlastranqueras,4,4,180,500,3,13825739,Mi Llave
85000000,2356.0,103659.0,QuintaNormal,Gonzalobulnesconmarcelofite,4,1,56,102,,14515506,
125000000,3465.0,152439.0,Maipú,EsquinaBlancaAvenidaLasTorres,4,1,100,300,2,14502261,Mi Llave
63000000,1746.0,76829.0,Lampa,PasajeLagoRiñihue1284lampa,3,1,71,81,2,15412485,Cesar Galaz
140000000,3880.0,170732.0,Independencia,Grancasade4habitacionesenindependencia,4,1,100,250,,15404633,Unne
151531800,4200.0,184795.0,Maipú,MetrodelSol,3,1,50,166,,15402959,Sucursal El Bosque Sur
